realtime_start,value,date,realtime_end
12/6/2019,188013,1/1/1963,12/6/2019
12/6/2019,188213,2/1/1963,12/6/2019
12/6/2019,188387,3/1/1963,12/6/2019
12/6/2019,188580,4/1/1963,12/6/2019
12/6/2019,188790,5/1/1963,12/6/2019
12/6/2019,189018,6/1/1963,12/6/2019
12/6/2019,189242,7/1/1963,12/6/2019
12/6/2019,189496,8/1/1963,12/6/2019
12/6/2019,189761,9/1/1963,12/6/2019
12/6/2019,190028,10/1/1963,12/6/2019
12/6/2019,190265,11/1/1963,12/6/2019
12/6/2019,190472,12/1/1963,12/6/2019
12/6/2019,190668,1/1/1964,12/6/2019
12/6/2019,190858,2/1/1964,12/6/2019
12/6/2019,191047,3/1/1964,12/6/2019
12/6/2019,191245,4/1/1964,12/6/2019
12/6/2019,191447,5/1/1964,12/6/2019
12/6/2019,191666,6/1/1964,12/6/2019
12/6/2019,191889,7/1/1964,12/6/2019
12/6/2019,192131,8/1/1964,12/6/2019
12/6/2019,192376,9/1/1964,12/6/2019
12/6/2019,192631,10/1/1964,12/6/2019
12/6/2019,192847,11/1/1964,12/6/2019
12/6/2019,193039,12/1/1964,12/6/2019
12/6/2019,193223,1/1/1965,12/6/2019
12/6/2019,193393,2/1/1965,12/6/2019
12/6/2019,193540,3/1/1965,12/6/2019
12/6/2019,193709,4/1/1965,12/6/2019
12/6/2019,193888,5/1/1965,12/6/2019
12/6/2019,194087,6/1/1965,12/6/2019
12/6/2019,194303,7/1/1965,12/6/2019
12/6/2019,194528,8/1/1965,12/6/2019
12/6/2019,194761,9/1/1965,12/6/2019
12/6/2019,194997,10/1/1965,12/6/2019
12/6/2019,195195,11/1/1965,12/6/2019
12/6/2019,195372,12/1/1965,12/6/2019
12/6/2019,195539,1/1/1966,12/6/2019
12/6/2019,195688,2/1/1966,12/6/2019
12/6/2019,195831,3/1/1966,12/6/2019
12/6/2019,195999,4/1/1966,12/6/2019
12/6/2019,196178,5/1/1966,12/6/2019
12/6/2019,196372,6/1/1966,12/6/2019
12/6/2019,196560,7/1/1966,12/6/2019
12/6/2019,196762,8/1/1966,12/6/2019
12/6/2019,196984,9/1/1966,12/6/2019
12/6/2019,197207,10/1/1966,12/6/2019
12/6/2019,197398,11/1/1966,12/6/2019
12/6/2019,197572,12/1/1966,12/6/2019
12/6/2019,197736,1/1/1967,12/6/2019
12/6/2019,197892,2/1/1967,12/6/2019
12/6/2019,198037,3/1/1967,12/6/2019
12/6/2019,198206,4/1/1967,12/6/2019
12/6/2019,198363,5/1/1967,12/6/2019
12/6/2019,198537,6/1/1967,12/6/2019
12/6/2019,198712,7/1/1967,12/6/2019
12/6/2019,198911,8/1/1967,12/6/2019
12/6/2019,199113,9/1/1967,12/6/2019
12/6/2019,199311,10/1/1967,12/6/2019
12/6/2019,199498,11/1/1967,12/6/2019
12/6/2019,199657,12/1/1967,12/6/2019
12/6/2019,199808,1/1/1968,12/6/2019
12/6/2019,199920,2/1/1968,12/6/2019
12/6/2019,200056,3/1/1968,12/6/2019
12/6/2019,200208,4/1/1968,12/6/2019
12/6/2019,200361,5/1/1968,12/6/2019
12/6/2019,200536,6/1/1968,12/6/2019
12/6/2019,200706,7/1/1968,12/6/2019
12/6/2019,200898,8/1/1968,12/6/2019
12/6/2019,201095,9/1/1968,12/6/2019
12/6/2019,201290,10/1/1968,12/6/2019
12/6/2019,201466,11/1/1968,12/6/2019
12/6/2019,201621,12/1/1968,12/6/2019
12/6/2019,201760,1/1/1969,12/6/2019
12/6/2019,201881,2/1/1969,12/6/2019
12/6/2019,202023,3/1/1969,12/6/2019
12/6/2019,202161,4/1/1969,12/6/2019
12/6/2019,202331,5/1/1969,12/6/2019
12/6/2019,202507,6/1/1969,12/6/2019
12/6/2019,202677,7/1/1969,12/6/2019
12/6/2019,202877,8/1/1969,12/6/2019
12/6/2019,203090,9/1/1969,12/6/2019
12/6/2019,203302,10/1/1969,12/6/2019
12/6/2019,203500,11/1/1969,12/6/2019
12/6/2019,203675,12/1/1969,12/6/2019
12/6/2019,203849,1/1/1970,12/6/2019
12/6/2019,204008,2/1/1970,12/6/2019
12/6/2019,204156,3/1/1970,12/6/2019
12/6/2019,204401,4/1/1970,12/6/2019
12/6/2019,204607,5/1/1970,12/6/2019
12/6/2019,204830,6/1/1970,12/6/2019
12/6/2019,205052,7/1/1970,12/6/2019
12/6/2019,205295,8/1/1970,12/6/2019
12/6/2019,205540,9/1/1970,12/6/2019
12/6/2019,205788,10/1/1970,12/6/2019
12/6/2019,206024,11/1/1970,12/6/2019
12/6/2019,206238,12/1/1970,12/6/2019
12/6/2019,206466,1/1/1971,12/6/2019
12/6/2019,206668,2/1/1971,12/6/2019
12/6/2019,206855,3/1/1971,12/6/2019
12/6/2019,207065,4/1/1971,12/6/2019
12/6/2019,207260,5/1/1971,12/6/2019
12/6/2019,207462,6/1/1971,12/6/2019
12/6/2019,207661,7/1/1971,12/6/2019
12/6/2019,207881,8/1/1971,12/6/2019
12/6/2019,208114,9/1/1971,12/6/2019
12/6/2019,208345,10/1/1971,12/6/2019
12/6/2019,208555,11/1/1971,12/6/2019
12/6/2019,208740,12/1/1971,12/6/2019
